Gender,Future Setting,Future Place,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Strand
Female,Rural Area,Stay in one place,Self motivation,Self motivation,Written Communication,Team Work,Time Management,TVL
Male,City,Stay in one place,Problem Solving,Commercial Awareness,Analytical Ability,Creative Thinking,Written Communication,HUMSS
Female,Suburban Area,Flexibility,Decision Making,Written Communication,Flexibility,Flexibility,Leadership,ABM
Female,Suburban Area,Stay in one place,Problem Solving,Time Management,Written Communication,Flexibility,Time Management,STEM
Male,Abroad,Move Often,Analytical Ability,Written Communication,Team Work,Verbal Communication,Numeracy,TVL
Male,Abroad,Stay in one place,Negotiating,Numeracy,Numeracy,Decision Making,Negotiating,STEM
Male,City,Work from anywhere,Creative Thinking,Analytical Ability,Numeracy,Problem Solving,Written Communication,GAS
Male,Abroad,Work from anywhere,Flexibility,Creative Thinking,Numeracy,Numeracy,Verbal Communication,STEM
Female,Suburban Area,Work from anywhere,Time Management,Creative Thinking,Decision Making,Verbal Communication,Leadership,TVL
Male,Flexible,Flexibility,Negotiating,Flexibility,Team Work,Time Management,Time Management,TVL
Female,Suburban Area,Flexibility,Verbal Communication,Written Communication,Negotiating,Time Management,Commercial Awareness,STEM
Female,Rural Area,Work from anywhere,Team Work,Team Work,Self motivation,Creative Thinking,Problem Solving,ABM
Female,Abroad,Stay in one place,Leadership,Creative Thinking,Written Communication,Decision Making,Numeracy,HUMSS
Female,Rural Area,Flexibility,Commercial Awareness,Decision Making,Numeracy,Self motivation,Problem Solving,STEM
Female,Rural Area,Work from anywhere,Analytical Ability,Team Work,Creative Thinking,Analytical Ability,Team Work,ABM
Female,City,Move Often,Flexibility,Creative Thinking,Time Management,Leadership,Analytical Ability,TVL
Female,City,Work from anywhere,Commercial Awareness,Verbal Communication,Creative Thinking,Written Communication,Team Work,STEM
Female,Abroad,Stay in one place,Self motivation,Commercial Awareness,Commercial Awareness,Problem Solving,Negotiating,TVL
Female,Suburban Area,Flexibility,Problem Solving,Leadership,Negotiating,Time Management,Self motivation,STEM
Female,Flexible,Flexibility,Numeracy,Decision Making,Numeracy,Decision Making,Analytical Ability,ABM
Male,Flexible,Flexibility,Commercial Awareness,Numeracy,Analytical Ability,Decision Making,Self motivation,ABM
Male,Rural Area,Stay in one place,Negotiating,Commercial Awareness,Creative Thinking,Written Communication,Commercial Awareness,GAS
Female,Rural Area,Work from anywhere,Commercial Awareness,Decision Making,Decision Making,Team Work,Numeracy,STEM
Male,Flexible,Move Often,Problem Solving,Leadership,Problem Solving,Numeracy,Analytical Ability,HUMSS
Male,Flexible,Stay in one place,Problem Solving,Problem Solving,Commercial Awareness,Analytical Ability,Creative Thinking,TVL
Female,Abroad,Stay in one place,Numeracy,Analytical Ability,Problem Solving,Problem Solving,Analytical Ability,TVL
Male,Rural Area,Stay in one place,Team Work,Time Management,Flexibility,Creative Thinking,Self motivation,STEM
Male,City,Flexibility,Written Communication,Leadership,Leadership,Leadership,Problem Solving,HUMSS
Female,Flexible,Move Often,Analytical Ability,Decision Making,Verbal Communication,Verbal Communication,Decision Making,HUMSS
Male,Flexible,Stay in one place,Verbal Communication,Numeracy,Creative Thinking,Analytical Ability,Numeracy,HUMSS
Female,Suburban Area,Stay in one place,Self motivation,Written Communication,Verbal Communication,Time Management,Flexibility,HUMSS
Male,City,Move Often,Leadership,Negotiating,Numeracy,Negotiating,Self motivation,ABM
Female,Suburban Area,Stay in one place,Numeracy,Verbal Communication,Commercial Awareness,Self motivation,Team Work,TVL
Male,Rural Area,Move Often,Decision Making,Commercial Awareness,Commercial Awareness,Flexibility,Leadership,STEM
Male,Flexible,Work from anywhere,Numeracy,Commercial Awareness,Verbal Communication,Numeracy,Written Communication,TVL
Male,City,Work from anywhere,Analytical Ability,Decision Making,Written Communication,Creative Thinking,Decision Making,ABM
Female,Rural Area,Move Often,Creative Thinking,Analytical Ability,Numeracy,Commercial Awareness,Written Communication,STEM
Female,Flexible,Work from anywhere,Self motivation,Problem Solving,Self motivation,Negotiating,Problem Solving,ABM
Female,Suburban Area,Work from anywhere,Time Management,Commercial Awareness,Negotiating,Written Communication,Negotiating,TVL
Male,Flexible,Stay in one place,Decision Making,Negotiating,Commercial Awareness,Self motivation,Numeracy,ABM
Male,City,Flexibility,Team Work,Team Work,Numeracy,Leadership,Numeracy,TVL
Female,Abroad,Flexibility,Team Work,Team Work,Flexibility,Problem Solving,Problem Solving,GAS
Female,Abroad,Flexibility,Self motivation,Creative Thinking,Analytical Ability,Team Work,Creative Thinking,ABM
Female,Suburban Area,Stay in one place,Commercial Awareness,Decision Making,Negotiating,Numeracy,Verbal Communication,HUMSS
Female,City,Flexibility,Team Work,Analytical Ability,Problem Solving,Flexibility,Analytical Ability,TVL
Male,Abroad,Flexibility,Negotiating,Leadership,Leadership,Commercial Awareness,Self motivation,HUMSS
Female,Rural Area,Move Often,Written Communication,Verbal Communication,Time Management,Numeracy,Time Management,GAS
Male,City,Work from anywhere,Commercial Awareness,Self motivation,Flexibility,Numeracy,Problem Solving,ABM
Female,Flexible,Stay in one place,Commercial Awareness,Commercial Awareness,Self motivation,Numeracy,Negotiating,GAS
Female,Suburban Area,Work from anywhere,Written Communication,Negotiating,Negotiating,Commercial Awareness,Verbal Communication,HUMSS
Male,Flexible,Flexibility,Written Communication,Leadership,Creative Thinking,Problem Solving,Team Work,STEM
Female,Abroad,Flexibility,Verbal Communication,Commercial Awareness,Written Communication,Time Management,Leadership,HUMSS
Female,Abroad,Flexibility,Numeracy,Decision Making,Leadership,Numeracy,Written Communication,STEM
Male,Rural Area,Flexibility,Flexibility,Written Communication,Numeracy,Analytical Ability,Creative Thinking,STEM
Female,City,Move Often,Commercial Awareness,Leadership,Time Management,Negotiating,Leadership,TVL
Female,Flexible,Move Often,Verbal Communication,Decision Making,Numeracy,Analytical Ability,Leadership,TVL
Male,Abroad,Move Often,Flexibility,Decision Making,Numeracy,Negotiating,Time Management,TVL
Female,Flexible,Stay in one place,Negotiating,Decision Making,Self motivation,Decision Making,Verbal Communication,TVL
Female,Suburban Area,Flexibility,Leadership,Written Communication,Flexibility,Self motivation,Negotiating,TVL
Male,Abroad,Move Often,Analytical Ability,Time Management,Self motivation,Flexibility,Verbal Communication,TVL
Male,Flexible,Flexibility,Creative Thinking,Numeracy,Analytical Ability,Verbal Communication,Commercial Awareness,ABM
Male,Suburban Area,Flexibility,Time Management,Self motivation,Self motivation,Decision Making,Decision Making,GAS
Female,Rural Area,Move Often,Time Management,Commercial Awareness,Creative Thinking,Commercial Awareness,Decision Making,ABM
Male,Abroad,Stay in one place,Leadership,Decision Making,Time Management,Creative Thinking,Team Work,HUMSS
Male,City,Move Often,Analytical Ability,Decision Making,Flexibility,Leadership,Flexibility,HUMSS
Male,Abroad,Move Often,Commercial Awareness,Problem Solving,Team Work,Leadership,Commercial Awareness,GAS
Female,Suburban Area,Work from anywhere,Verbal Communication,Leadership,Decision Making,Leadership,Commercial Awareness,HUMSS
Male,Flexible,Move Often,Leadership,Verbal Communication,Analytical Ability,Verbal Communication,Numeracy,GAS
Male,Suburban Area,Flexibility,Team Work,Problem Solving,Commercial Awareness,Verbal Communication,Creative Thinking,ABM
Male,Rural Area,Work from anywhere,Creative Thinking,Commercial Awareness,Problem Solving,Time Management,Negotiating,GAS
Male,Abroad,Flexibility,Verbal Communication,Problem Solving,Leadership,Numeracy,Leadership,ABM
Male,Abroad,Flexibility,Verbal Communication,Team Work,Team Work,Written Communication,Flexibility,STEM
Female,Rural Area,Flexibility,Written Communication,Self motivation,Creative Thinking,Self motivation,Flexibility,STEM
Male,Flexible,Work from anywhere,Problem Solving,Commercial Awareness,Self motivation,Flexibility,Self motivation,TVL
Female,Flexible,Flexibility,Self motivation,Commercial Awareness,Team Work,Numeracy,Written Communication,ABM
Male,Flexible,Stay in one place,Problem Solving,Team Work,Decision Making,Self motivation,Leadership,STEM
Female,Abroad,Flexibility,Creative Thinking,Flexibility,Written Communication,Analytical Ability,Flexibility,TVL
Female,Suburban Area,Move Often,Written Communication,Verbal Communication,Time Management,Leadership,Negotiating,ABM
Female,City,Stay in one place,Problem Solving,Problem Solving,Leadership,Leadership,Written Communication,TVL
Female,Suburban Area,Flexibility,Negotiating,Time Management,Negotiating,Problem Solving,Commercial Awareness,GAS
Female,Flexible,Move Often,Decision Making,Commercial Awareness,Analytical Ability,Self motivation,Analytical Ability,GAS
Female,Rural Area,Move Often,Decision Making,Problem Solving,Flexibility,Problem Solving,Time Management,ABM
Male,Rural Area,Flexibility,Flexibility,Self motivation,Decision Making,Creative Thinking,Negotiating,GAS
Male,Rural Area,Move Often,Decision Making,Flexibility,Analytical Ability,Commercial Awareness,Decision Making,TVL
Male,Flexible,Move Often,Decision Making,Numeracy,Verbal Communication,Analytical Ability,Problem Solving,STEM
Male,City,Flexibility,Flexibility,Self motivation,Creative Thinking,Self motivation,Team Work,ABM
Male,Suburban Area,Work from anywhere,Problem Solving,Verbal Communication,Written Communication,Time Management,Numeracy,ABM
Female,Rural Area,Move Often,Problem Solving,Written Communication,Analytical Ability,Decision Making,Analytical Ability,STEM
Male,Abroad,Work from anywhere,Leadership,Team Work,Written Communication,Numeracy,Creative Thinking,GAS
Female,City,Stay in one place,Team Work,Decision Making,Team Work,Analytical Ability,Verbal Communication,STEM
Female,Suburban Area,Work from anywhere,Team Work,Decision Making,Commercial Awareness,Creative Thinking,Negotiating,GAS
Female,Flexible,Move Often,Leadership,Flexibility,Verbal Communication,Time Management,Self motivation,ABM
Female,Abroad,Flexibility,Numeracy,Leadership,Flexibility,Analytical Ability,Decision Making,ABM
Male,Rural Area,Work from anywhere,Decision Making,Self motivation,Team Work,Numeracy,Negotiating,HUMSS
Female,Suburban Area,Flexibility,Decision Making,Time Management,Problem Solving,Verbal Communication,Written Communication,HUMSS
Female,Flexible,Move Often,Numeracy,Numeracy,Leadership,Self motivation,Numeracy,GAS
Female,Abroad,Work from anywhere,Problem Solving,Numeracy,Negotiating,Problem Solving,Team Work,GAS
Male,City,Work from anywhere,Commercial Awareness,Verbal Communication,Decision Making,Creative Thinking,Time Management,GAS
Female,Flexible,Flexibility,Leadership,Team Work,Negotiating,Leadership,Time Management,GAS
Male,Rural Area,Work from anywhere,Analytical Ability,Verbal Communication,Written Communication,Verbal Communication,Problem Solving,STEM
Female,Rural Area,Flexibility,Commercial Awareness,Creative Thinking,Analytical Ability,Verbal Communication,Team Work,HUMSS
Female,Rural Area,Work from anywhere,Creative Thinking,Flexibility,Problem Solving,Team Work,Team Work,HUMSS
Female,Flexible,Work from anywhere,Negotiating,Written Communication,Leadership,Leadership,Time Management,HUMSS
Male,Flexible,Move Often,Verbal Communication,Flexibility,Self motivation,Analytical Ability,Creative Thinking,GAS
Male,Abroad,Stay in one place,Negotiating,Problem Solving,Analytical Ability,Time Management,Flexibility,HUMSS
Female,City,Move Often,Leadership,Problem Solving,Self motivation,Flexibility,Numeracy,TVL
Female,City,Stay in one place,Analytical Ability,Decision Making,Creative Thinking,Team Work,Team Work,GAS
Male,Flexible,Move Often,Self motivation,Written Communication,Verbal Communication,Written Communication,Creative Thinking,GAS
Female,Suburban Area,Work from anywhere,Team Work,Analytical Ability,Decision Making,Problem Solving,Flexibility,TVL
Male,Abroad,Move Often,Decision Making,Creative Thinking,Creative Thinking,Self motivation,Flexibility,GAS
Male,Flexible,Work from anywhere,Creative Thinking,Self motivation,Written Communication,Negotiating,Creative Thinking,STEM
Female,Suburban Area,Work from anywhere,Commercial Awareness,Self motivation,Self motivation,Flexibility,Written Communication,TVL
Female,Abroad,Flexibility,Leadership,Creative Thinking,Flexibility,Negotiating,Analytical Ability,GAS
Male,City,Work from anywhere,Analytical Ability,Self motivation,Time Management,Commercial Awareness,Creative Thinking,TVL
Male,Flexible,Flexibility,Commercial Awareness,Team Work,Analytical Ability,Verbal Communication,Commercial Awareness,TVL
Female,Rural Area,Work from anywhere,Verbal Communication,Numeracy,Analytical Ability,Creative Thinking,Team Work,STEM
Female,Flexible,Move Often,Analytical Ability,Flexibility,Commercial Awareness,Team Work,Leadership,TVL
Male,City,Work from anywhere,Team Work,Negotiating,Creative Thinking,Problem Solving,Self motivation,HUMSS
Male,Suburban Area,Move Often,Problem Solving,Negotiating,Negotiating,Verbal Communication,Verbal Communication,GAS
Male,Abroad,Stay in one place,Decision Making,Flexibility,Self motivation,Verbal Communication,Written Communication,STEM
Female,City,Flexibility,Written Communication,Negotiating,Verbal Communication,Decision Making,Numeracy,HUMSS
Male,City,Stay in one place,Problem Solving,Flexibility,Leadership,Creative Thinking,Self motivation,HUMSS
Female,Flexible,Flexibility,Analytical Ability,Self motivation,Time Management,Commercial Awareness,Decision Making,HUMSS
Male,Abroad,Stay in one place,Analytical Ability,Time Management,Problem Solving,Self motivation,Leadership,TVL
Female,City,Stay in one place,Negotiating,Decision Making,Decision Making,Self motivation,Numeracy,ABM
Female,Abroad,Flexibility,Negotiating,Creative Thinking,Verbal Communication,Self motivation,Negotiating,GAS
Male,Flexible,Stay in one place,Numeracy,Team Work,Analytical Ability,Decision Making,Written Communication,STEM
Female,Rural Area,Flexibility,Decision Making,Negotiating,Negotiating,Self motivation,Self motivation,STEM
Male,Abroad,Work from anywhere,Leadership,Creative Thinking,Verbal Communication,Verbal Communication,Numeracy,TVL
Male,Rural Area,Flexibility,Self motivation,Decision Making,Self motivation,Time Management,Negotiating,ABM
Male,Flexible,Stay in one place,Team Work,Team Work,Verbal Communication,Time Management,Problem Solving,TVL
Male,City,Stay in one place,Team Work,Self motivation,Team Work,Commercial Awareness,Self motivation,ABM
Female,Flexible,Stay in one place,Negotiating,Self motivation,Leadership,Team Work,Written Communication,HUMSS
Male,Flexible,Work from anywhere,Time Management,Negotiating,Numeracy,Creative Thinking,Written Communication,GAS
Female,City,Flexibility,Written Communication,Creative Thinking,Time Management,Leadership,Problem Solving,STEM
Female,Abroad,Work from anywhere,Leadership,Leadership,Verbal Communication,Problem Solving,Flexibility,STEM
Female,Abroad,Move Often,Negotiating,Verbal Communication,Numeracy,Verbal Communication,Negotiating,TVL
Female,Suburban Area,Stay in one place,Decision Making,Verbal Communication,Self motivation,Negotiating,Time Management,STEM
Male,Rural Area,Work from anywhere,Analytical Ability,Leadership,Numeracy,Written Communication,Leadership,TVL
Male,Flexible,Work from anywhere,Time Management,Creative Thinking,Verbal Communication,Verbal Communication,Written Communication,TVL
Female,Abroad,Stay in one place,Self motivation,Team Work,Negotiating,Self motivation,Verbal Communication,HUMSS
Male,Abroad,Work from anywhere,Analytical Ability,Problem Solving,Decision Making,Time Management,Decision Making,STEM
Male,Suburban Area,Stay in one place,Analytical Ability,Self motivation,Verbal Communication,Analytical Ability,Analytical Ability,TVL
Female,City,Work from anywhere,Team Work,Analytical Ability,Time Management,Team Work,Self motivation,ABM
Female,Rural Area,Stay in one place,Negotiating,Written Communication,Analytical Ability,Commercial Awareness,Commercial Awareness,ABM
Male,Suburban Area,Stay in one place,Flexibility,Numeracy,Time Management,Self motivation,Team Work,GAS
Male,City,Flexibility,Leadership,Problem Solving,Time Management,Time Management,Creative Thinking,ABM
Female,Suburban Area,Work from anywhere,Numeracy,Numeracy,Written Communication,Decision Making,Time Management,TVL
Male,Rural Area,Work from anywhere,Written Communication,Commercial Awareness,Analytical Ability,Decision Making,Analytical Ability,HUMSS
Female,Abroad,Work from anywhere,Commercial Awareness,Creative Thinking,Problem Solving,Self motivation,Flexibility,ABM
Male,Flexible,Stay in one place,Analytical Ability,Numeracy,Leadership,Team Work,Decision Making,STEM
Female,City,Stay in one place,Numeracy,Verbal Communication,Self motivation,Commercial Awareness,Flexibility,TVL
Female,City,Work from anywhere,Commercial Awareness,Flexibility,Analytical Ability,Problem Solving,Verbal Communication,ABM
Male,Rural Area,Stay in one place,Written Communication,Commercial Awareness,Written Communication,Creative Thinking,Creative Thinking,STEM
Male,Flexible,Flexibility,Problem Solving,Leadership,Time Management,Creative Thinking,Decision Making,GAS
Male,Rural Area,Stay in one place,Flexibility,Negotiating,Flexibility,Decision Making,Team Work,GAS
Male,Abroad,Work from anywhere,Decision Making,Written Communication,Numeracy,Time Management,Problem Solving,GAS
Male,Abroad,Flexibility,Time Management,Numeracy,Team Work,Negotiating,Self motivation,GAS
Male,Abroad,Move Often,Problem Solving,Verbal Communication,Verbal Communication,Written Communication,Analytical Ability,GAS
Female,Flexible,Flexibility,Problem Solving,Creative Thinking,Written Communication,Analytical Ability,Creative Thinking,TVL
Male,Flexible,Work from anywhere,Written Communication,Analytical Ability,Leadership,Self motivation,Leadership,ABM
Male,Rural Area,Stay in one place,Negotiating,Commercial Awareness,Written Communication,Decision Making,Time Management,HUMSS
Female,Rural Area,Flexibility,Decision Making,Self motivation,Verbal Communication,Written Communication,Self motivation,STEM
Female,Suburban Area,Stay in one place,Leadership,Leadership,Written Communication,Problem Solving,Self motivation,GAS
Male,Flexible,Work from anywhere,Verbal Communication,Written Communication,Problem Solving,Written Communication,Verbal Communication,STEM
Female,Flexible,Move Often,Creative Thinking,Commercial Awareness,Analytical Ability,Creative Thinking,Numeracy,ABM
Female,Rural Area,Stay in one place,Decision Making,Negotiating,Written Communication,Commercial Awareness,Time Management,TVL
Female,Abroad,Flexibility,Written Communication,Commercial Awareness,Flexibility,Negotiating,Self motivation,TVL
Female,Flexible,Flexibility,Written Communication,Leadership,Numeracy,Commercial Awareness,Creative Thinking,TVL
Female,Suburban Area,Move Often,Leadership,Commercial Awareness,Self motivation,Negotiating,Time Management,HUMSS
Male,Flexible,Flexibility,Negotiating,Commercial Awareness,Verbal Communication,Written Communication,Team Work,HUMSS
Female,Abroad,Flexibility,Written Communication,Negotiating,Flexibility,Commercial Awareness,Written Communication,HUMSS
Female,Flexible,Move Often,Numeracy,Numeracy,Leadership,Problem Solving,Problem Solving,HUMSS
Male,Rural Area,Stay in one place,Team Work,Analytical Ability,Written Communication,Problem Solving,Self motivation,TVL
Female,Abroad,Move Often,Flexibility,Written Communication,Flexibility,Numeracy,Creative Thinking,TVL
Male,Abroad,Stay in one place,Numeracy,Self motivation,Leadership,Creative Thinking,Decision Making,STEM
Male,Rural Area,Flexibility,Written Communication,Numeracy,Negotiating,Problem Solving,Team Work,GAS
Female,Flexible,Flexibility,Team Work,Creative Thinking,Problem Solving,Leadership,Team Work,ABM
Male,Rural Area,Move Often,Negotiating,Team Work,Negotiating,Time Management,Negotiating,ABM
Female,Abroad,Work from anywhere,Leadership,Problem Solving,Analytical Ability,Verbal Communication,Flexibility,GAS
Female,Flexible,Stay in one place,Creative Thinking,Negotiating,Time Management,Self motivation,Decision Making,HUMSS
Male,Flexible,Work from anywhere,Time Management,Problem Solving,Negotiating,Self motivation,Verbal Communication,STEM
Male,Rural Area,Flexibility,Written Communication,Commercial Awareness,Commercial Awareness,Self motivation,Time Management,ABM
Male,Flexible,Flexibility,Commercial Awareness,Problem Solving,Creative Thinking,Decision Making,Decision Making,STEM
Male,City,Move Often,Commercial Awareness,Leadership,Self motivation,Verbal Communication,Negotiating,ABM
Female,Suburban Area,Move Often,Commercial Awareness,Creative Thinking,Time Management,Flexibility,Verbal Communication,HUMSS
Female,Suburban Area,Flexibility,Problem Solving,Decision Making,Time Management,Verbal Communication,Negotiating,GAS
Female,Rural Area,Work from anywhere,Problem Solving,Team Work,Creative Thinking,Numeracy,Commercial Awareness,STEM
Male,Flexible,Work from anywhere,Flexibility,Leadership,Creative Thinking,Written Communication,Written Communication,HUMSS
Female,Abroad,Move Often,Commercial Awareness,Numeracy,Creative Thinking,Verbal Communication,Flexibility,HUMSS
Male,Flexible,Flexibility,Team Work,Verbal Communication,Verbal Communication,Numeracy,Negotiating,GAS
Female,Rural Area,Move Often,Verbal Communication,Time Management,Verbal Communication,Self motivation,Team Work,HUMSS
Female,Suburban Area,Work from anywhere,Verbal Communication,Leadership,Leadership,Problem Solving,Decision Making,GAS
Male,Suburban Area,Work from anywhere,Written Communication,Creative Thinking,Decision Making,Commercial Awareness,Leadership,HUMSS
Male,City,Flexibility,Creative Thinking,Problem Solving,Commercial Awareness,Numeracy,Analytical Ability,GAS
Male,Abroad,Flexibility,Flexibility,Negotiating,Team Work,Analytical Ability,Negotiating,ABM
Female,Rural Area,Stay in one place,Creative Thinking,Time Management,Negotiating,Leadership,Problem Solving,STEM
Male,Abroad,Move Often,Problem Solving,Leadership,Verbal Communication,Leadership,Team Work,TVL
Female,Rural Area,Stay in one place,Leadership,Verbal Communication,Flexibility,Self motivation,Time Management,GAS
Male,Abroad,Stay in one place,Self motivation,Self motivation,Problem Solving,Commercial Awareness,Problem Solving,ABM
Male,Rural Area,Work from anywhere,Verbal Communication,Written Communication,Creative Thinking,Analytical Ability,Commercial Awareness,ABM
Female,City,Move Often,Leadership,Creative Thinking,Time Management,Analytical Ability,Self motivation,TVL
Male,Rural Area,Flexibility,Flexibility,Written Communication,Problem Solving,Verbal Communication,Negotiating,ABM
Female,Flexible,Flexibility,Commercial Awareness,Time Management,Numeracy,Written Communication,Analytical Ability,HUMSS
Male,Abroad,Move Often,Team Work,Creative Thinking,Creative Thinking,Problem Solving,Numeracy,ABM
Male,Rural Area,Work from anywhere,Flexibility,Decision Making,Decision Making,Negotiating,Written Communication,TVL
Female,Abroad,Move Often,Commercial Awareness,Problem Solving,Decision Making,Commercial Awareness,Creative Thinking,ABM
Male,City,Work from anywhere,Analytical Ability,Flexibility,Creative Thinking,Numeracy,Written Communication,ABM
Male,Suburban Area,Flexibility,Numeracy,Flexibility,Flexibility,Time Management,Decision Making,GAS
Female,Suburban Area,Move Often,Problem Solving,Numeracy,Verbal Communication,Numeracy,Decision Making,ABM
Male,Flexible,Flexibility,Team Work,Flexibility,Written Communication,Problem Solving,Problem Solving,ABM
Male,Flexible,Move Often,Problem Solving,Team Work,Negotiating,Decision Making,Problem Solving,ABM
Male,Suburban Area,Stay in one place,Verbal Communication,Written Communication,Analytical Ability,Problem Solving,Negotiating,STEM
Male,Rural Area,Work from anywhere,Creative Thinking,Self motivation,Numeracy,Decision Making,Decision Making,ABM
Female,City,Flexibility,Team Work,Commercial Awareness,Problem Solving,Creative Thinking,Creative Thinking,TVL
Female,City,Move Often,Negotiating,Flexibility,Numeracy,Problem Solving,Leadership,ABM
Male,Flexible,Move Often,Leadership,Numeracy,Team Work,Problem Solving,Team Work,TVL
Male,Suburban Area,Move Often,Numeracy,Flexibility,Team Work,Time Management,Team Work,HUMSS
Female,Flexible,Move Often,Team Work,Analytical Ability,Analytical Ability,Analytical Ability,Numeracy,TVL
Female,City,Flexibility,Negotiating,Written Communication,Leadership,Time Management,Self motivation,GAS
Female,City,Work from anywhere,Decision Making,Flexibility,Commercial Awareness,Written Communication,Analytical Ability,HUMSS
Male,Abroad,Flexibility,Written Communication,Self motivation,Problem Solving,Analytical Ability,Commercial Awareness,STEM
Male,Suburban Area,Flexibility,Commercial Awareness,Flexibility,Flexibility,Creative Thinking,Written Communication,GAS
Male,Suburban Area,Flexibility,Time Management,Analytical Ability,Problem Solving,Problem Solving,Team Work,STEM
Male,Flexible,Work from anywhere,Leadership,Self motivation,Creative Thinking,Creative Thinking,Numeracy,STEM
Female,City,Flexibility,Problem Solving,Decision Making,Decision Making,Written Communication,Team Work,ABM
Female,Rural Area,Work from anywhere,Creative Thinking,Written Communication,Numeracy,Flexibility,Decision Making,STEM
Male,City,Flexibility,Written Communication,Creative Thinking,Team Work,Numeracy,Decision Making,TVL
Female,Flexible,Stay in one place,Decision Making,Decision Making,Team Work,Team Work,Decision Making,GAS
Male,Suburban Area,Move Often,Negotiating,Decision Making,Decision Making,Negotiating,Creative Thinking,HUMSS
Female,Flexible,Move Often,Self motivation,Analytical Ability,Problem Solving,Self motivation,Flexibility,ABM
Male,Flexible,Flexibility,Analytical Ability,Numeracy,Verbal Communication,Numeracy,Verbal Communication,TVL
Male,City,Flexibility,Team Work,Self motivation,Problem Solving,Flexibility,Team Work,ABM
Male,Abroad,Work from anywhere,Creative Thinking,Decision Making,Analytical Ability,Leadership,Decision Making,TVL
Male,City,Flexibility,Self motivation,Numeracy,Written Communication,Leadership,Creative Thinking,TVL
Female,City,Work from anywhere,Negotiating,Team Work,Time Management,Numeracy,Team Work,TVL
Male,Abroad,Work from anywhere,Written Communication,Creative Thinking,Creative Thinking,Leadership,Decision Making,ABM
Male,Suburban Area,Flexibility,Leadership,Commercial Awareness,Flexibility,Verbal Communication,Verbal Communication,ABM
Male,City,Move Often,Decision Making,Analytical Ability,Problem Solving,Written Communication,Self motivation,HUMSS
Female,Suburban Area,Work from anywhere,Negotiating,Creative Thinking,Negotiating,Verbal Communication,Verbal Communication,STEM
Male,Rural Area,Stay in one place,Flexibility,Verbal Communication,Decision Making,Decision Making,Problem Solving,GAS
Male,Abroad,Stay in one place,Decision Making,Written Communication,Flexibility,Numeracy,Verbal Communication,GAS
Female,Abroad,Move Often,Analytical Ability,Creative Thinking,Verbal Communication,Flexibility,Written Communication,GAS
Male,City,Flexibility,Numeracy,Flexibility,Decision Making,Decision Making,Numeracy,ABM
Male,City,Move Often,Numeracy,Negotiating,Creative Thinking,Problem Solving,Creative Thinking,STEM
Female,Rural Area,Stay in one place,Verbal Communication,Verbal Communication,Team Work,Time Management,Team Work,STEM
Male,Suburban Area,Work from anywhere,Creative Thinking,Problem Solving,Creative Thinking,Analytical Ability,Creative Thinking,HUMSS
Female,Suburban Area,Move Often,Analytical Ability,Verbal Communication,Problem Solving,Negotiating,Negotiating,TVL
Female,Rural Area,Move Often,Analytical Ability,Leadership,Flexibility,Creative Thinking,Team Work,HUMSS
Female,Suburban Area,Move Often,Flexibility,Written Communication,Time Management,Self motivation,Verbal Communication,TVL
Female,Rural Area,Move Often,Flexibility,Problem Solving,Commercial Awareness,Decision Making,Numeracy,HUMSS
Female,Rural Area,Flexibility,Commercial Awareness,Creative Thinking,Team Work,Commercial Awareness,Leadership,GAS
Male,Flexible,Flexibility,Analytical Ability,Decision Making,Verbal Communication,Decision Making,Self motivation,STEM
Male,City,Move Often,Leadership,Commercial Awareness,Decision Making,Creative Thinking,Written Communication,ABM
Female,Abroad,Flexibility,Verbal Communication,Creative Thinking,Problem Solving,Negotiating,Commercial Awareness,HUMSS
Male,Suburban Area,Work from anywhere,Commercial Awareness,Leadership,Team Work,Time Management,Commercial Awareness,HUMSS
Male,Flexible,Flexibility,Flexibility,Negotiating,Problem Solving,Numeracy,Numeracy,TVL
Female,Abroad,Flexibility,Verbal Communication,Verbal Communication,Flexibility,Creative Thinking,Flexibility,STEM
Male,Suburban Area,Work from anywhere,Negotiating,Numeracy,Numeracy,Written Communication,Commercial Awareness,ABM
Male,Suburban Area,Move Often,Team Work,Analytical Ability,Time Management,Team Work,Creative Thinking,STEM
Female,Rural Area,Work from anywhere,Team Work,Self motivation,Verbal Communication,Analytical Ability,Decision Making,ABM
Male,Flexible,Work from anywhere,Problem Solving,Leadership,Team Work,Self motivation,Numeracy,GAS
Male,Suburban Area,Flexibility,Creative Thinking,Written Communication,Team Work,Numeracy,Analytical Ability,TVL
Male,City,Flexibility,Analytical Ability,Verbal Communication,Problem Solving,Verbal Communication,Flexibility,GAS
Male,Abroad,Move Often,Analytical Ability,Verbal Communication,Creative Thinking,Problem Solving,Flexibility,STEM
Male,Suburban Area,Move Often,Creative Thinking,Decision Making,Creative Thinking,Time Management,Problem Solving,GAS
Male,Flexible,Flexibility,Problem Solving,Negotiating,Written Communication,Problem Solving,Written Communication,GAS
Female,Rural Area,Work from anywhere,Problem Solving,Commercial Awareness,Numeracy,Commercial Awareness,Flexibility,STEM
Male,Abroad,Move Often,Commercial Awareness,Decision Making,Self motivation,Team Work,Creative Thinking,ABM
Female,Flexible,Work from anywhere,Numeracy,Team Work,Creative Thinking,Self motivation,Negotiating,GAS
