Age,Gender,Grade,Future Setting,Future Place,Work Type,Work Environment,Immediate Goals,Highly Skilled,Skilled,Moderately Skilled,Unskilled
16,Male,10,Flexible ,Stay in one place,Hands-on work,Outdoors ,Save money,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership",Decision Making,Teamwork
17,Male,10,Rural Area,Stay in one place,Creative work,Collaborative ,Volunteer,"Verbal Communication, Analytical Ability","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Male,10,Flexible ,Work from anywhere,Working with technology,Outdoors ,Finish schooling,Verbal Communication,"Written Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making",Creative Thinking,Teamwork
15,Male,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
15,Female,9,Rural Area,Work from anywhere,Helping people,Office setting,Finish schooling,Creative Thinking,"Written Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making",Verbal Communication,Teamwork
15,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Female,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Male,9,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
15,Female,10,Rural Area,Move often ,Creative work,Outdoors ,Explore different careers,"Teamwork, Analytical Ability","Written Communication, Verbal Communication, Problem Solving, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Leadership,Teamwork
17,Male,10,City,Stay in one place,Working with technology,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
16,Female,10,Suburban Area,Work from anywhere,Creative work,Collaborative ,Learn a new skill,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
16,Female,10,Rural Area,Move often ,Hands-on work,Location Independent Work,Finish schooling,Numeracy,"Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making","Verbal Communication, Analytical Ability",Teamwork
16,Female,10,Rural Area,Move often ,Creative work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making","Teamwork, Creative Thinking",Teamwork
17,Male,10,Flexible ,Move often ,Helping people,Location Independent Work,Join clubs or activities,"Verbal Communication, Teamwork, Leadership, Decision Making","Analytical Ability, Reactive Ability","Creative Thinking, Numeracy","Written Communication, Problem Solving"
16,Male,9,Rural Area,Work from anywhere,Hands-on work,Independent ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Numeracy,Teamwork
15,Female,9,Rural Area,Move sometimes,Hands-on work,Collaborative ,Volunteer,"Written Communication, Verbal Communication, Teamwork, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,"Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy"
15,Female,9,Suburban Area,Work from anywhere,Creative work,Location Independent Work,Finish schooling,Written Communication,"Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy, Decision Making","Teamwork, Creative Thinking",Leadership
17,Male,10,Flexible ,Move often ,Working with technology,Collaborative ,Finish schooling,Leadership,"Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Teamwork,Teamwork
15,Female,9,Rural Area,Move often ,Hands-on work,Location Independent Work,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Numeracy, Leadership","Analytical Ability, Reactive Ability, Decision Making",Teamwork
17,Male,10,Flexible ,Move often ,Organizing and managing ,Outdoors ,Improve my grades,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Decision Making","Teamwork, Leadership",Teamwork
16,Male,10,Rural Area,Work from anywhere,Hands-on work,Outdoors ,Finish schooling,Creative Thinking,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making",Reactive Ability,Teamwork
15,Female,9,Rural Area,Move often ,Hands-on work,Location Independent Work,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Female,9,Rural Area,Move often ,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy","Creative Thinking, Decision Making",Leadership
16,Male,10,Suburban Area,Work from anywhere,Creative work,Office setting,Finish schooling,"Analytical Ability, Reactive Ability, Leadership","Written Communication, Verbal Communication, Problem Solving, Teamwork, Creative Thinking, Numeracy, Decision Making",Numeracy,Teamwork
15,Female,9,Suburban Area,Stay in one place,Creative work,Location Independent Work,Finish schooling,"Written Communication, Analytical Ability, Numeracy","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making","Problem Solving, Creative Thinking","Verbal Communication, Teamwork, Reactive Ability, Leadership, Decision Making"
15,Male,10,Suburban Area,Work from anywhere,Working with technology,Outdoors ,Finish schooling,Decision Making,"Written Communication, Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy","Problem Solving, Leadership",Teamwork
17,Male,10,City,Move often ,Working with technology,Location Independent Work,Join clubs or activities,"Written Communication, Leadership","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Numeracy,Teamwork
15,Female,9,Rural Area,Move sometimes,Creative work,Outdoors ,Finish schooling,"Written Communication, Leadership","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Decision Making",Numeracy,Teamwork
14,Male,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership, Decision Making","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership, Decision Making","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
14,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership, Decision Making","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
15,Male,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Creative Thinking, Leadership, Decision Making","Teamwork, Analytical Ability, Reactive Ability, Numeracy",Teamwork
16,Female,10,Rural Area,Move sometimes,Organizing and managing ,Location Independent Work,Finish schooling,"Verbal Communication, Problem Solving, Reactive Ability, Creative Thinking, Numeracy","Written Communication, Teamwork, Analytical Ability, Leadership, Decision Making",Numeracy,Teamwork
16,Male,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Problem Solving, Analytical Ability, Leadership","Creative Thinking, Numeracy, Decision Making","Written Communication, Verbal Communication, Teamwork, Reactive Ability",Teamwork
16,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Problem Solving, Analytical Ability, Leadership","Creative Thinking, Numeracy, Decision Making","Written Communication, Verbal Communication, Teamwork, Reactive Ability",Teamwork
16,Female,10,Rural Area,Move often ,Working with technology,Collaborative ,Finish schooling,Creative Thinking,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making",Reactive Ability,Teamwork
16,Female,10,Suburban Area,Work from anywhere,Creative work,Collaborative ,Finish schooling,"Problem Solving, Reactive Ability, Leadership","Written Communication, Verbal Communication, Teamwork, Analytical Ability, Creative Thinking, Numeracy, Decision Making",Numeracy,Teamwork
17,Female,10,Suburban Area,Move sometimes,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership","Written Communication, Creative Thinking, Decision Making",Teamwork
15,Male,9,Rural Area,Move often ,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Female,10,Suburban Area,Move sometimes,Hands-on work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Verbal Communication, Analytical Ability",Teamwork
17,Female,10,Rural Area,Move often ,Working with technology,Collaborative ,Finish schooling,Creative Thinking,"Written Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Numeracy, Leadership, Decision Making",Verbal Communication,Teamwork
14,Male,9,Abroad ,Move often ,Organizing and managing ,Outdoors ,Finish schooling,"Verbal Communication, Teamwork, Reactive Ability, Numeracy","Written Communication, Problem Solving, Analytical Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Male,10,Flexible ,Move often ,Hands-on work,Office setting,Finish schooling,Problem Solving,"Written Communication, Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Decision Making","Numeracy, Leadership",Teamwork
17,Male,10,Suburban Area,Move sometimes,Helping people,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving, Analytical Ability, Creative Thinking, Leadership, Decision Making","Teamwork, Numeracy",Reactive Ability
17,Male,10,Suburban Area,Move often ,Hands-on work,Office setting,Take extra classes,Creative Thinking,"Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making","Written Communication, Reactive Ability",Teamwork
17,Male,10,City,Stay in one place,Helping people,Office setting,Volunteer,"Creative Thinking, Leadership, Decision Making","Verbal Communication, Teamwork, Analytical Ability, Reactive Ability, Numeracy",Numeracy,"Written Communication, Problem Solving"
16,Male,10,Flexible ,Stay in one place,Hands-on work,Office setting,Finish schooling,"Written Communication, Problem Solving","Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Leadership",Numeracy,"Teamwork, Numeracy, Decision Making"
16,Male,10,Rural Area,Move sometimes,Hands-on work,Collaborative ,Finish schooling,"Written Communication, Teamwork","Problem Solving, Reactive Ability, Creative Thinking, Numeracy, Decision Making","Verbal Communication, Leadership",Analytical Ability
17,Male,10,Flexible ,Move often ,Organizing and managing ,Collaborative ,Join clubs or activities,"Problem Solving, Creative Thinking","Written Communication, Verbal Communication, Analytical Ability, Numeracy","Teamwork, Leadership","Reactive Ability, Decision Making"
14,Male,9,Rural Area,Move often ,Organizing and managing ,Collaborative ,Finish schooling,"Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication",Numeracy,Teamwork
15,Female,9,Rural Area,Move often ,Creative work,Office setting,Finish schooling,"Teamwork, Numeracy","Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Leadership, Decision Making",Problem Solving,Written Communication
17,Female,10,Flexible ,Work from anywhere,Hands-on work,Outdoors ,Finish schooling,"Teamwork, Leadership","Written Communication, Verbal Communication, Problem Solving, Reactive Ability, Numeracy, Decision Making","Analytical Ability, Creative Thinking",Teamwork
16,Male,10,Abroad ,Stay in one place,Organizing and managing ,Collaborative ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Decision Making","Numeracy, Leadership",Numeracy,"Written Communication, Verbal Communication, Problem Solving"
16,Female,10,Flexible ,Work from anywhere,Creative work,Outdoors ,Explore different careers,"Written Communication, Problem Solving, Creative Thinking, Leadership","Verbal Communication, Teamwork, Numeracy, Decision Making",Numeracy,"Analytical Ability, Reactive Ability"
17,Male,10,Flexible ,Work from anywhere,Hands-on work,Outdoors ,Explore different careers,Analytical Ability,"Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,"Written Communication, Problem Solving"
17,Male,10,Rural Area,Move sometimes,Working with technology,Independent ,Finish schooling,"Verbal Communication, Teamwork, Creative Thinking","Problem Solving, Reactive Ability, Leadership, Decision Making","Analytical Ability, Numeracy",Written Communication
17,Male,10,Flexible ,Work from anywhere,Hands-on work,Collaborative ,Finish schooling,"Problem Solving, Teamwork","Verbal Communication, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership",Decision Making,Written Communication
16,Male,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Analytical Ability, Numeracy","Problem Solving, Decision Making","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership",Teamwork
16,Male,10,Flexible ,Work from anywhere,Hands-on work,Collaborative ,Finish schooling,Teamwork,"Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership","Verbal Communication, Decision Making",Written Communication
16,Female,10,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Analytical Ability, Numeracy","Problem Solving, Decision Making","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership",Teamwork
17,Male,10,Rural Area,Work from anywhere,Hands-on work,Collaborative ,Finish schooling,Teamwork,"Problem Solving, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership","Verbal Communication, Decision Making",Written Communication
14,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Analytical Ability, Numeracy","Problem Solving, Decision Making","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership",Teamwork
15,Female,9,Rural Area,Move often ,Creative work,Location Independent Work,Finish schooling,"Analytical Ability, Numeracy","Written Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Problem Solving, Reactive Ability",Verbal Communication
14,Male,9,Rural Area,Work from anywhere,Organizing and managing ,Outdoors ,Finish schooling,"Verbal Communication, Reactive Ability","Written Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy, Leadership, Decision Making",Creative Thinking,Teamwork
15,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Problem Solving, Analytical Ability","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Teamwork
15,Male,9,Rural Area,Move sometimes,Hands-on work,Collaborative ,Finish schooling,Written Communication,"Verbal Communication, Analytical Ability, Numeracy, Decision Making","Problem Solving, Reactive Ability, Creative Thinking","Teamwork, Leadership"
16,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Problem Solving, Analytical Ability","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Teamwork
15,Female,9,City,Stay in one place,Organizing and managing ,Office setting,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Problem Solving, Analytical Ability","Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making",Teamwork
15,Male,9,Flexible ,Move often ,Creative work,Outdoors ,Finish schooling,"Verbal Communication, Teamwork","Problem Solving, Creative Thinking, Numeracy, Decision Making","Analytical Ability, Leadership","Written Communication, Reactive Ability"
15,Male,9,Rural Area,Move often ,Hands-on work,Independent ,Finish schooling,"Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Verbal Communication, Problem Solving",Numeracy,Teamwork
15,Male,9,Rural Area,Stay in one place,Organizing and managing ,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
15,Female,9,Rural Area,Move often ,Creative work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
14,Male,9,City,Stay in one place,Organizing and managing ,Collaborative ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Problem Solving, Analytical Ability, Leadership","Written Communication, Verbal Communication, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Teamwork
17,Male,10,Suburban Area,Move often ,Creative work,Location Independent Work,Explore different careers,"Written Communication, Verbal Communication, Analytical Ability","Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Numeracy, Decision Making",Leadership,Teamwork
16,Female,10,City,Stay in one place,Organizing and managing ,Collaborative ,Finish schooling,"Analytical Ability, Numeracy","Problem Solving, Leadership","Written Communication, Verbal Communication, Reactive Ability, Creative Thinking, Decision Making",Teamwork
16,Female,10,City,Stay in one place,Organizing and managing ,Collaborative ,Finish schooling,"Analytical Ability, Numeracy","Problem Solving, Leadership","Written Communication, Verbal Communication, Reactive Ability, Creative Thinking, Decision Making",Teamwork
15,Female,10,Abroad ,Move often ,Organizing and managing ,Office setting,Finish schooling,"Verbal Communication, Problem Solving, Analytical Ability, Numeracy, Decision Making","Written Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership",Numeracy,Teamwork
16,Female,10,Rural Area,Work from anywhere,Hands-on work,Outdoors ,Finish schooling,"Written Communication, Teamwork, Creative Thinking, Decision Making","Verbal Communication, Problem Solving, Analytical Ability, Reactive Ability, Leadership",Numeracy,Teamwork
16,Female,10,Abroad ,Move often ,Organizing and managing ,Office setting,Finish schooling,"Verbal Communication, Problem Solving, Analytical Ability, Numeracy, Decision Making","Written Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership",Numeracy,Teamwork
17,Male,10,Flexible ,Work from anywhere,Creative work,Office setting,Finish schooling,"Written Communication, Analytical Ability, Reactive Ability","Verbal Communication, Problem Solving, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Male,10,Rural Area,Move often ,Hands-on work,Office setting,Finish schooling,"Problem Solving, Reactive Ability","Verbal Communication, Teamwork, Leadership","Written Communication, Analytical Ability, Creative Thinking, Numeracy",Decision Making
17,Female,10,Abroad ,Work from anywhere,Hands-on work,Outdoors ,Finish schooling,"Analytical Ability, Decision Making","Written Communication, Problem Solving, Teamwork, Creative Thinking, Numeracy, Leadership","Verbal Communication, Reactive Ability",Teamwork
17,Male,10,Rural Area,Stay in one place,Creative work,Collaborative ,Finish schooling,"Written Communication, Problem Solving","Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Analytical Ability
15,Female,9,Suburban Area,Move sometimes,Organizing and managing ,Location Independent Work,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
15,Female,9,Suburban Area,Move sometimes,Hands-on work,Independent ,Finish schooling,"Creative Thinking, Leadership","Written Communication, Reactive Ability, Decision Making","Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Numeracy",Teamwork
17,Female,10,Flexible ,Work from anywhere,Organizing and managing ,Collaborative ,Finish schooling,"Written Communication, Problem Solving, Analytical Ability, Numeracy","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,"Verbal Communication, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making"
17,Male,10,Flexible ,Work from anywhere,Hands-on work,Office setting,Finish schooling,"Teamwork, Creative Thinking","Written Communication, Problem Solving, Analytical Ability, Reactive Ability, Numeracy, Decision Making","Verbal Communication, Leadership",Teamwork
17,Male,10,Suburban Area,Move sometimes,Working with technology,Independent ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Female,10,Rural Area,Stay in one place,Working with technology,Outdoors ,Finish schooling,"Verbal Communication, Problem Solving, Analytical Ability","Teamwork, Reactive Ability, Creative Thinking, Numeracy, Leadership","Written Communication, Decision Making",Teamwork
17,Female,10,Rural Area,Move often ,Working with technology,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Teamwork, Reactive Ability, Creative Thinking","Problem Solving, Analytical Ability, Numeracy, Decision Making",Leadership,Teamwork
17,Male,10,Rural Area,Move often ,Hands-on work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy","Verbal Communication, Leadership",Decision Making
17,Female,10,Rural Area,Move sometimes,Working with technology,Location Independent Work,Finish schooling,Reactive Ability,"Verbal Communication, Teamwork, Creative Thinking, Leadership, Decision Making","Written Communication, Problem Solving","Analytical Ability, Numeracy"
16,Male,10,Suburban Area,Move sometimes,Working with technology,Location Independent Work,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
17,Male,10,Suburban Area,Work from anywhere,Creative work,Outdoors ,Finish schooling,"Teamwork, Creative Thinking","Verbal Communication, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy","Written Communication, Decision Making"
16,Male,10,Flexible ,Work from anywhere,Hands-on work,Collaborative ,Finish schooling,"Written Communication, Analytical Ability","Verbal Communication, Reactive Ability, Numeracy, Leadership","Problem Solving, Creative Thinking, Decision Making",Teamwork
16,Male,10,Suburban Area,Move sometimes,Creative work,Outdoors ,Finish schooling,"Written Communication, Numeracy","Verbal Communication, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Decision Making","Teamwork, Creative Thinking"
16,Male,10,Suburban Area,Move often ,Hands-on work,Outdoors ,Finish schooling,"Written Communication, Verbal Communication, Problem Solving, Teamwork, Analytical Ability, Reactive Ability, Creative Thinking, Numeracy, Leadership, Decision Making","Written Communication, Problem Solving, Teamwork, Reactive Ability, Creative Thinking, Leadership, Decision Making",Numeracy,Teamwork
16,Male,10,Suburban Area,Work from anywhere,Creative work,Collaborative ,Finish schooling,Numeracy,"Written Communication, Teamwork, Reactive Ability, Leadership","Verbal Communication, Analytical Ability","Problem Solving, Creative Thinking, Decision Making"
16,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,"Written Communication, Verbal Communication","Problem Solving, Analytical Ability, Reactive Ability, Decision Making","Teamwork, Numeracy, Leadership",Creative Thinking
17,Male,10,Rural Area,Work from anywhere,Creative work,Location Independent Work,Finish schooling,"Written Communication, Teamwork, Creative Thinking","Verbal Communication, Analytical Ability, Leadership","Problem Solving, Reactive Ability, Numeracy, Decision Making",Teamwork
17,Female,10,Rural Area,Move often ,Hands-on work,Outdoors ,Explore different careers,"Problem Solving, Analytical Ability, Creative Thinking","Verbal Communication, Teamwork, Reactive Ability, Numeracy, Leadership","Written Communication, Decision Making",Teamwork
17,Female,10,City,Stay in one place,Helping people,Office setting,Finish schooling,Written Communication,"Verbal Communication, Reactive Ability, Creative Thinking","Problem Solving, Analytical Ability, Numeracy, Leadership","Teamwork, Decision Making"
